station_id,bikesAvailable,allowDropoff,isFloatingBike,state,realTimeData,time,week,yday,day,month,hour,minute,yhour,year,station_name,lon,lat,capacity
405,8.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Jollas,25.0616678668253,60.1644074899774,16
647,14.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Lystimäki,24.745666,60.172814,12
527,3.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Otsolahti,24.817423,60.178655,18
769,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Tiurintie,24.814562,60.204951,12
649,11.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Lystimäensilta,24.752442,60.17471,15
529,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Keilaniemi (M),24.82895,60.175233,40
651,14.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Suurpellonaukio,24.744131,60.184596,24
531,7.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Keilaranta,24.835132,60.178762,24
532,12.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Betonimies,24.831804,60.180027,16
653,11.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Lukutori,24.742571,60.187052,14
533,1.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Tekniikantie,24.824747,60.180806,18
537,11.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Innopoli,24.81422,60.185096,20
538,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Hagalundsparken,24.817403,60.18363,14
539,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,"Aalto University (M), Tietotie",24.820099,60.184987,20
541,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,"Aalto University (M), Korkeakoulua",24.826671,60.184312,42
301,34.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Aurinkotuulenkatu,25.1593463483962,60.202773395376,30
543,19.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Otaranta,24.837133,60.18483,22
302,17.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Sumukuja,25.1584093750563,60.2054467315293,18
303,11.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Leikosaarentie,25.1515462608624,60.2046812958719,16
545,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Sähkömies,24.829985,60.188499,12
304,15.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Aurinkolahdenaukio,25.1501135293384,60.2011360782064,24
305,38.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Kalkkihiekantie,25.1430402936212,60.202124196154,16
547,22.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Jämeräntaival,24.835033,60.188118,30
306,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Shopping Center Columbus,25.1455043565057,60.2063719022092,20
307,0.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Ulappasilta,25.1410458716813,60.2066160428581,18
549,1.0,1.0,0.0,Station on,1.0,2021-08-31 23:55:02.336677+00:00,35.0,243.0,31,8.0,23,0.9166667,3863.0,2021.0,Maarinranta,24.810193,60.187529,12
